정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
풍림1차아파트,42969,13659,4380,13659,4380,0,601.3
풍림1차아파트,42970,4232,13512,4232,13512,0,591.47
풍림2.3차아파트,38350,9155,2305,9155,2305,0,382
풍림2단지,70010,1,1304,1,1304,0,43.5
풍림2차아파트,38049,5959,14152,5959,14152,0,670.37
풍림2차아파트,38050,7651,6311,7651,6311,0,465.4
풍림3단지정문,70003,105,127,105,127,0,7.73
풍림3차아파트,42366,8984,5135,8984,5135,0,470.63
풍림6단지,35124,2251,604,2251,604,0,95.17
풍림아이원,36114,118,1244,118,1244,0,45.4
풍림아이원,36115,6737,2143,6737,2143,0,296
풍림아이원,36121,3000,10438,3000,10438,0,447.93
풍림아이원,41441,3905,2114,3905,2114,0,200.63
풍림아이원1차·금호어울림아파트,42642,4934,70,4934,70,0,166.8
풍림아이원1차·금호어울림아파트,42646,12,4177,12,4177,0,139.63
풍림아이원2차아파트,42485,9418,53,9418,53,0,315.7
풍림아이원4차아파트,42645,16,5949,16,5949,0,198.83
풍림아이원8단지,35915,150,311,150,311,0,15.37
풍림아이원아파트,37034,20454,9960,20454,9960,0,1013.8
풍림아파트,36122,8123,827,8123,827,0,298.33
풍림아파트,37245,27831,7496,27831,7496,0,1177.57
풍림아파트,37246,6375,14691,6375,14691,0,702.2
풍림아파트,38255,4218,7636,4218,7636,0,395.13
풍림아파트,39162,7859,11077,7859,11077,0,631.2
풍림아파트,39163,11902,6173,11902,6173,0,602.5
풍림아파트,41374,2391,2635,2391,2635,0,167.53
풍림아파트,70008,582,2,582,2,0,19.47
풍림아파트(소래마을),39120,1429,3852,1429,3852,0,176.03
풍림아파트104동,40898,9057,7763,9057,7763,0,560.67
풍림아파트104동,40899,6088,7233,6088,7233,0,444.03
풍림아파트상가,70043,216,478,216,478,0,23.13
풍림아파트상가,70044,444,142,444,142,0,19.53
풍림엑슬루타워,42830,6729,8838,6729,8838,0,518.9
풍무역,80167,746,5368,746,5368,0,203.8
풍무역,80168,4870,931,4870,931,0,193.37
풍물시장,35054,230,883,230,883,0,37.1
풍물시장,35055,271,79,271,79,0,11.67
풍물시장,43941,527,10107,524,10107,3,354.47
풍산빌라입구,90384,15,12,15,12,0,0.9
풍산특수금속,90219,9,6,9,6,0,0.5
프라임,39643,6001,1834,6001,1834,0,261.17
프리상뜨아파트,40230,16,4352,16,4352,0,145.6
프린피아통합물류센터,89235,458,5,458,5,0,15.43
하나개삼거리,35733,14,89,14,89,0,3.43
하나개삼거리,35734,41,60,41,60,0,3.37
하나개해수욕장,35737,3332,3048,3329,3048,3,212.67
하나글로벌캠퍼스,89444,2510,1037,2510,1037,0,118.23
하나글로벌캠퍼스,89445,788,5061,788,5061,0,194.97
하나금융그룹통합데이터센터,89265,351,2254,351,2254,0,86.83
하나금융그룹통합데이터센터,89294,193,168,193,168,0,12.03
하나로쇼핑,37118,4062,9667,4062,9667,0,457.63
하나아파트,37051,1603,6577,1603,6577,0,272.67
하나아파트,37052,8778,3413,8778,3413,0,406.37
하나아파트,40546,1271,1966,1271,1966,0,107.9
하나아파트,41250,4844,6464,4844,6464,0,376.93
하나아파트,41574,3116,1055,3116,1055,0,139.03
하늘고등학교,35924,25,60,25,60,0,2.83
하늘고등학교,35925,29,39,29,39,0,2.27
하늘도시중심상가,35821,1597,381,1597,381,0,65.93
하늘도시중심상가,35822,372,1474,371,1474,1,61.53
하늘문화센터,35826,15,121,15,121,0,4.53
하늘문화센터,35827,139,31,137,31,2,5.67
하늘문화센터입구,35766,1,308,1,308,0,10.3
하늘문화센터입구,35767,88,13,88,13,0,3.37
하늘중학교,35823,1154,2882,1154,2882,0,134.53
하늘초등학교후문·한신더휴2차후문,35499,1468,692,1468,692,0,72
하늘초등학교후문·한신더휴2차후문,35500,589,2021,589,2021,0,87
하늘휴게소,70220,3463,16290,3463,16290,0,658.43
하늘휴게소,70221,14705,3299,14705,3299,0,600.13
하룩,43157,18,200,18,200,0,7.27
하룩,43281,260,48,259,48,1,10.27
하리마을회관,90243,2,20,2,20,0,0.73
하리마을회관,90244,19,0,19,0,0,0.63
하리선착장,90240,6,26,6,26,0,1.07
하야동,41438,395,524,395,524,0,30.63
하야동,41439,534,817,534,817,0,45.03
하얀마을,55035,3063,2994,3063,2994,0,201.9
하얀집민박,43440,13,0,13,0,0,0.43
하얀집민박,43497,0,19,0,19,0,0.63
하얏트호텔,35028,1482,9487,1482,9487,0,365.63
하얏트호텔,35206,3077,3968,3075,3968,2,234.83
하우고개,43275,98,162,98,162,0,8.67
하우고개,43577,196,127,196,127,0,10.77
하우스앞,43174,13,1,13,1,0,0.47
하우스앞,43231,0,15,0,15,0,0.5
하우스토리,41569,274,206,274,206,0,16
하우스토리,41570,102,1193,102,1193,0,43.17
하우스토리,41606,399,451,399,451,0,28.33
하우스토리,41626,648,374,648,374,0,34.07
하우스토리만수아파트,39301,1331,1079,1331,1079,0,80.33
하일부락입구,43967,2,2,2,2,0,0.13
하일부락입구,43971,0,14,0,14,0,0.47
하점공단,43448,0,83,0,83,0,2.77
하점공단,43755,12,13,12,13,0,0.83
하점면사무소,43738,461,212,454,212,7,22.43
하점면사무소,43834,223,423,220,423,3,21.53
하점순복음교회,90222,181,8,176,8,5,6.3
하점순복음교회,90223,3,35,3,35,0,1.27
하점우체국,43817,499,65,489,65,10,18.8
하점우체국,43838,61,615,61,615,0,22.53
하점초등학교,43739,23,127,23,127,0,5
하점초등학교,43836,129,13,128,13,1,4.73
하정놀이공원,40942,5685,4461,5685,4461,0,338.2
하정초등학교,40044,2109,1361,2109,1361,0,115.67
하정초등학교,40046,1346,2650,1346,2650,0,133.2
학마을한진아파트정문,41293,2515,3118,2515,3118,0,187.77
학산사거리,37025,5535,280,5535,280,0,193.83
학산사거리,37027,262,3775,262,3775,0,134.57
학산소극장,37169,19613,4188,19613,4188,0,793.37
학산소극장,37173,8586,17850,8586,17850,0,881.2
학생안전체험관,39284,3285,5496,3285,5496,0,292.7
학익.원흥아파트,37015,2093,46,2093,46,0,71.3
학익2동행정복지센터,37150,15101,7927,15101,7927,0,767.6
학익2동행정복지센터,37151,8717,15154,8717,15154,0,795.7
학익SKVIEW·동아풍림아파트,37562,3726,2297,3726,2297,0,200.77
학익고등학교·학익SKVIEW,37029,14143,4022,14143,4022,0,605.5
학익고등학교·학익SKVIEW,37505,4660,10464,4660,10464,0,504.13
학익동구치소,37139,535,1125,535,1125,0,55.33
학익동성당앞,37630,1647,47,1647,47,0,56.47
학익동성당앞,37631,116,844,116,844,0,32
학익동아풍림아파트·SKVIEW,37058,43,786,43,786,0,27.63
학익사거리,37075,4366,1694,4366,1694,0,202
학익사거리,37077,2811,8838,2811,8838,0,388.3
학익사거리(동아풍림아파트),37084,11377,5776,11377,5776,0,571.77
학익사거리(동아풍림아파트),37089,10624,10596,10624,10596,0,707.33
